from_unixtime(date_ts),num_tasks,procs_per_node,file_per_proc,segment,block_size,transfer_size,aggregate_size,write_data_rate_max,write_data_rate_mean,write_data_rate_min,write_open_time,write_wrrd_time,write_close_time,read_data_rate_max,read_data_rate_mean,read_data_rate_min,read_open_time,read_wrrd_time,read_close_time,command_line
2015-10-06 21:10:17,216,1,1,NULL,1073741824,67108864,2147483647,3781.8,3781.8,3781.8,0.033236,58.45,0.001487,20491,20491,20491,0.001825,10.79,0.001688,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_1_1444179908.0.out -s 1 -r -t 64m -w
2015-10-06 21:11:39,432,1,1,NULL,1073741824,67108864,2147483647,8010.83,8010.83,8010.83,0.050908,55.17,0.002169,46613.4,46613.4,46613.4,0.00313,9.48,0.003542,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_1_1444179908.0.out -s 1 -r -t 64m -w
2015-10-06 21:12:56,648,1,1,NULL,1073741824,67108864,2147483647,15744.7,15744.7,15744.7,0.056969,42.08,0.00311,65584.9,65584.9,65584.9,0.004496,10.11,0.005086,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_1_1444179908.0.out -s 1 -r -t 64m -w
2015-10-06 21:14:01,864,1,1,NULL,1073741824,67108864,2147483647,21467.2,21467.2,21467.2,0.042104,41.17,0.003821,91430,91430,91430,0.00594,9.66,0.00635,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_1_1444179908.0.out -s 1 -r -t 64m -w
2015-10-06 21:15:07,1080,1,1,NULL,1073741824,67108864,2147483647,25341,25341,25341,0.077861,43.56,0.004504,112642,112642,112642,0.007292,9.8,0.007812,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_1_1444179908.0.out -s 1 -r -t 64m -w
2015-10-06 21:16:17,1296,1,1,NULL,1073741824,67108864,2147483647,36627,36627,36627,0.079062,36.15,0.007163,134811,134811,134811,0.008633,9.83,0.010431,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_1_1444179908.0.out -s 1 -r -t 64m -w
2015-10-06 21:17:22,1512,1,1,NULL,1073741824,67108864,2147483647,40697.3,40697.3,40697.3,0.07408,37.96,0.006677,153700,153700,153700,0.010558,10.05,0.012195,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_1_1444179908.0.out -s 1 -r -t 64m -w
2015-10-06 21:18:32,1728,1,1,NULL,1073741824,67108864,2147483647,42758.5,42758.5,42758.5,0.099328,41.28,0.008585,173794,173794,173794,0.013263,10.16,0.014775,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_1_1444179908.0.out -s 1 -r -t 64m -w
2015-10-06 21:19:54,1944,1,1,NULL,1073741824,67108864,2147483647,48344.4,48344.4,48344.4,0.095537,41.07,0.007866,188479,188479,188479,0.013107,10.53,0.01493,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_1_1444179908.0.out -s 1 -r -t 64m -w
2015-10-06 21:21:28,2160,1,1,NULL,1073741824,67108864,2147483647,51531.6,51531.6,51531.6,0.096016,42.82,0.008745,208159,208159,208159,0.015235,10.6,0.016295,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_1_1444179908.0.out -s 1 -r -t 64m -w
2015-10-06 21:22:53,2376,1,1,NULL,1073741824,67108864,2147483647,56444.5,56444.5,56444.5,0.117115,42.98,0.010027,220969,220969,220969,0.015415,10.98,0.018914,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_1_1444179908.0.out -s 1 -r -t 64m -w
2015-10-06 21:24:26,2592,1,1,NULL,1073741824,67108864,2147483647,60560.1,60560.1,60560.1,0.107477,43.71,0.011667,234254,234254,234254,0.018657,11.29,0.021572,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_1_1444179908.0.out -s 1 -r -t 64m -w
2015-10-06 21:26:15,2808,1,1,NULL,1073741824,67108864,2147483647,60302.1,60302.1,60302.1,0.116309,47.56,0.011094,250227,250227,250227,0.018685,11.45,0.021945,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_1_1444179908.0.out -s 1 -r -t 64m -w
